package_name,number_of_lines,package_status,stubtest_setting,pyright_setting,annotated_parameters,unannotated_parameters,annotated_returns,unannotated_returns,explicit_Incomplete_parameters,explicit_Incomplete_returns,explicit_Any_parameters,explicit_Any_returns,annotated_variables,explicit_Any_variables,explicit_Incomplete_variables
stripe,1593,OUT_OF_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,264,388,108,168,0,0,161,4,156,42,0
tabulate,57,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,15,0,2,0,0,0,2,0,27,0,0
termcolor,14,OBSOLETE,ERROR_ON_MISSING_STUB,STRICT,9,0,2,0,0,0,1,0,6,0,0
toml,154,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,71,0,41,0,0,0,20,5,15,2,0
toposort,17,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,4,0,4,0,0,0,1,0,1,1,0
tqdm,1446,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,788,129,139,24,18,8,1,1,98,0,70
tree-sitter,133,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,25,0,52,0,0,0,0,2,4,0,0
tree-sitter-languages,11,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,2,0,2,0,0,0,0,0,5,0,0
ttkthemes,84,UP_TO_DATE,ERROR_ON_MISSING_STUB,NOT_STRICT,30,14,13,10,0,0,3,0,5,0,0
typed-ast,730,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,46,0,29,0,0,0,4,6,313,1,0
tzlocal,25,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,2,0,6,0,0,0,0,0,3,0,0
ujson,37,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,28,0,6,0,0,0,3,3,1,0,0
urllib3,808,UP_TO_DATE,MISSING_STUBS_IGNORED,NOT_STRICT,158,160,95,61,0,0,3,4,160,54,0
vobject,596,UP_TO_DATE,ERROR_ON_MISSING_STUB,NOT_STRICT,101,179,73,103,0,0,21,3,184,93,0
waitress,713,UP_TO_DATE,MISSING_STUBS_IGNORED,STRICT,210,0,209,0,0,0,44,8,247,20,0
whatthepatch,109,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,31,0,24,0,0,0,0,0,50,0,0
xmltodict,38,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,20,0,3,0,0,0,7,1,1,0,0
xxhash,53,OBSOLETE,ERROR_ON_MISSING_STUB,STRICT,26,0,17,0,0,0,0,0,6,0,1
zxcvbn,202,UP_TO_DATE,ERROR_ON_MISSING_STUB,STRICT,63,0,39,0,0,0,0,0,77,1,0
